scene_id,im_id,obj_id,IoU
49,2119,9,0.0
49,2123,9,0.0
49,2146,9,0.0
49,2151,9,0.0
49,2173,9,0.0
49,2196,9,0.0
49,1,13,0.8224508421139965
49,36,13,0.8088591725867113
49,47,13,0.8434462831625952
49,58,13,0.847495131881749
49,65,13,0.8379528985507246
49,73,13,0.844997266265719
49,91,13,0.0
49,109,13,0.8579144923555799
49,125,13,0.0
49,148,13,0.0
49,231,13,0.8959993428078534
49,357,13,0.905630105017503
49,521,13,0.9091483979763912
49,526,13,0.913660514541387
49,537,13,0.9156559319670988
49,542,13,0.9126995142262317
49,552,13,0.9165284687672748
49,558,13,0.914572864321608
49,564,13,0.9082158817463045
49,570,13,0.9167927382753404
49,576,13,0.9167925305505973
49,591,13,0.9163031624863686
49,594,13,0.9192257711510841
49,617,13,0.910674648550481
49,629,13,0.9082751744765702
49,631,13,0.9232363757940488
49,651,13,0.9170337255933206
49,669,13,0.9189345686160972
49,762,13,0.9180630852636766
49,1024,13,0.9264457515578591
49,1036,13,0.9176532033426184
49,1052,13,0.9205450975863264
49,1067,13,0.9277233429394812
49,1095,13,0.9288957866298787
49,1102,13,0.9298587992193778
49,1130,13,0.9280464877798666
49,1144,13,0.9147083449623221
49,1150,13,0.9162814014370857
49,1157,13,0.9240359684448612
49,1168,13,0.0
49,1172,13,0.0
49,1179,13,0.9223600801863792
49,1269,13,0.9237007191309227
49,1491,13,0.8965839476689855
49,1554,13,0.8912998122261632
49,1557,13,0.9143340023238619
49,1565,13,0.897879932829555
49,1568,13,0.8986252492391646
49,1575,13,0.904370425373926
49,1582,13,0.8987777131065136
49,1587,13,0.9133400842082823
49,1592,13,0.9095665171898356
49,1595,13,0.9198054579843286
49,1614,13,0.9086664877917896
49,1615,13,0.9105472529835501
49,1618,13,0.9101648499167696
49,1631,13,0.9003482453790517
49,1641,13,0.9090066514011558
49,1644,13,0.912054086736657
49,1655,13,0.9010097665949346
49,1671,13,0.9038557282734967
49,1677,13,0.9031517662206796
49,1682,13,0.8976039783001808
49,1688,13,0.8975028376844495
49,1881,13,0.9023246224421422
49,2061,13,0.9003677537985096
49,2064,13,0.8977201219807348
49,2089,13,0.8924322215720695
49,2097,13,0.8930596285434995
49,2119,13,0.8918682174315051
49,2123,13,0.8897799511002445
49,2146,13,0.8860213988508024
49,2151,13,0.8982498370192067
49,2173,13,0.8891849766202423
49,2196,13,0.8984902661899086
50,620,2,0.8890834523754666
50,623,2,0.8977826846996044
50,629,2,0.8920151397692553
50,633,2,0.9019021739130435
50,640,2,0.8920613441587731
50,642,2,0.8887889553446958
50,644,2,0.8795867954188188
50,651,2,0.8829672308246309
50,653,2,0.8937945887737246
50,660,2,0.9001734952622448
50,662,2,0.8825525833965971
50,671,2,0.883170447413252
50,681,2,0.9137946428571428
50,682,2,0.9180812469207685
50,701,2,0.9120197708380139
50,712,2,0.912266301869585
50,721,2,0.9057367622026958
50,722,2,0.9110375884569433
50,735,2,0.9031779857314927
50,737,2,0.9119185373756075
50,751,2,0.9106147867209814
50,757,2,0.9117550676466457
50,769,2,0.9004159183287646
50,923,2,0.8970698722764838
50,1026,2,0.8881208276123289
50,1044,2,0.8838416916167665
50,1052,2,0.890196987253766
50,1058,2,0.8860239852398524
50,1066,2,0.8814946133915178
50,1077,2,0.8927466326902075
50,1094,2,0.887303528559134
50,1098,2,0.8916407272071096
50,1105,2,0.8872210771574514
50,1113,2,0.8830114624682217
50,1125,2,0.875309405940594
50,1130,2,0.8782685512367491
50,1145,2,0.872564302416212
50,1150,2,0.8664194549844774
50,1169,2,0.861255429690827
50,1189,2,0.8409646681845012
50,1192,2,0.8585729499467518
50,1209,2,0.8399099962498437
50,1216,2,0.8310111051033565
50,1242,2,0.8305977462028418
50,1246,2,0.8219658774654136
50,1263,2,0.8319873317498021
50,1266,2,0.814754746835443
50,1280,2,0.8766299285936044
50,1284,2,0.8082995560702567
50,1324,2,0.8834445295125597
50,1480,2,0.8741858217422365
50,1542,2,0.874375905942986
50,1564,2,0.8724445496882153
50,1592,2,0.863158708082213
50,1593,2,0.8660392703613338
50,1613,2,0.8624810318664643
50,1629,2,0.8659240618755089
50,1656,2,0.8784806459789261
50,1658,2,0.8687475277787766
50,1669,2,0.8637381085618355
50,1678,2,0.8721335218455809
50,1695,2,0.8580816931787544
50,1708,2,0.8697579044847202
50,1711,2,0.8678617326259598
50,1713,2,0.8719854641559299
50,1714,2,0.8740116145542832
50,1718,2,0.8604243722016741
50,1719,2,0.8606091894682498
50,1733,2,0.8658788398614949
50,1743,2,0.8766512709537806
50,1745,2,0.8714542420741882
50,1756,2,0.8765486725663717
50,1778,2,0.8723939498757901
50,1782,2,0.8780063389472376
50,1874,2,0.8883080382237212
50,620,5,0.9176681155714651
50,623,5,0.9143783371472158
50,629,5,0.8903821923561529
50,633,5,0.9088546388637051
50,640,5,0.8888486822266449
50,642,5,0.8989300610530133
50,644,5,0.8899186797416886
50,651,5,0.9081487622882861
50,653,5,0.9121413327009723
