scene_id,im_id,obj_id,x_offset,y_offset,z_offset,x_angle,y_angle,z_angle
48,1137,19,-96.90802743952437,42.41162065196321,-517.1281351828096,156.09742192379682,66.5740837367808,-138.69401486679973
48,1540,19,3.2165082373634846,37.279633269546274,-12.663510137521712,-53.98194459864069,-12.677235834296942,7.829963747275018
48,1542,19,-68.80523619834321,28.147731312883554,-442.620562296623,-5.801469570631476,13.359204793650646,2.127355039854308
48,1543,19,-64.03534819519393,26.301461804611403,-434.0866338754943,-12.31131017824628,3.443723457910008,2.255348296333482
48,1568,19,-72.09721299863604,18.117080813433503,-496.9353535163044,0.10638636440700518,26.1791421138196,1.0843728748448267
48,1569,19,-42.78923829240824,19.623844678025442,-314.25261516545186,1.2631488089173601,-5.92745874161585,-2.8751385624076113
48,1571,19,-54.623292235093004,6.138154426881215,-390.062636891682,-39.06376650566575,-4.314609868691254,-0.017571417704415213
48,1572,19,-40.319202648526954,20.230473100584028,-280.46031401112225,-2.948125222476656,-8.215523045222035,1.7219349850063397
48,1576,19,-13.553369947168335,38.05455308889591,-66.5961179306305,-42.368359927859515,-22.930310422520815,12.670387150774971
48,1577,19,-31.479030402899156,20.554951085320788,-229.50131879675666,-38.19000357910206,-5.054459892271566,4.526769513950732
48,1579,19,-96.01943439911764,17.602298909570635,-468.99025712427897,122.66387871460348,80.41561942487726,-113.38963616434722
48,1580,19,-53.45560595908478,5.315806047861301,-381.11246791411827,-36.91184744327554,-4.151486267994117,1.758478542158402
48,1583,19,6.209201540436297,25.3159724368274,25.294204845985064,-44.45192975247336,-6.487866596652288,4.093385025635949
48,1586,19,-40.67844218903031,20.586049900187874,-215.54665892742776,-43.839538217562335,-0.964665100267192,-5.116523956611078
48,1587,19,-58.07636926540269,15.33720062141721,-383.41248359972565,7.789897145270913,24.873885787042834,1.8437721995021075
48,1588,19,-49.26719087367715,13.613841189668904,-345.5590215814283,-10.426145984238325,0.3379883202293139,0.2656489889657967
48,1589,19,-85.96700433465409,17.85395105114418,-387.9633845962768,136.52372080952222,79.83761152908411,-121.93893640503093
48,1597,19,-82.71806636328442,-1.6867039789709537,-517.7532105957472,-3.492869564404927,25.802156859959748,-5.718594897267988
